seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
MOT17-02-FRCNN,0.3189308302583648,0.7852334524211052,0.2504351569273053,0.3189308302583648,0.317938946008427,0.31726931214608495,0.3165841572935894,0.3147507313851037,0.31334715704778,0.31184482337272895,0.30974905453737706,0.3072278050114395,0.30356136036341386,0.2965838348109649,0.2871297467596626,0.27828164579000014,0.2667454913327978,0.25031951894487237,0.22207196211742958,0.17647573990450405,0.1151790607272972,0.03448418280871101,0.26623554529581833,0.34662722518620254,0.3447802922403334,0.3437170567151592,0.3429384185850498,0.3408899642331159,0.3387071364805965,0.33562110336878503,0.33053235908141965,0.3248622804282299,0.3178082191780822,0.30392307298859395,0.2860313776925793,0.26881345809277324,0.24818840579710144,0.21841992066147303,0.17952158423171238,0.12681223479490805,0.07140455577036228,0.019108534879072558,0.2678266947581869,0.2934474475703668,0.2931872141882366,0.2928566228037598,0.29225517824109265,0.2906158388391584,0.2898859523603539,0.28975291746631315,0.29027256833018605,0.2905505805343872,0.28995316654806497,0.28942182706371516,0.28823233359689837,0.2880833234058716,0.2866900930277328,0.28687796138296484,0.27470767133511875,0.2455889751111987,0.18578949041692366,0.06223181795517734,0.2694947884303958,0.35315645013723695,0.35175717130402023,0.3509498950540875,0.3503578924708035,0.3487971583876002,0.3471287874710726,0.3447607771379366,0.34083203272159734,0.3364189225552984,0.3308756256390937,0.3197890318066842,0.3051504224745708,0.2906732683924439,0.27280555406059953,0.24595016414617082,0.20881545664926537,0.15440503740379957,0.09143748990904688,0.0257252031645229,0.2826203337308343,0.9493634259259259,0.9456018518518519,0.9434317129629629,0.9418402777777778,0.9376446759259259,0.9331597222222222,0.9267939814814815,0.9162326388888888,0.9043692129629629,0.8894675925925926,0.8596643518518519,0.8203125,0.7813946759259259,0.7333622685185185,0.6611689814814815,0.5613425925925926,0.41507523148148145,0.24580439814814814,0.06915509259259259,0.7597465886939571,0.36715109594180473,0.3671493672797795,0.3670455253549554,0.36674740366300823,0.3657756157544595,0.3653645073851371,0.3645332990692785,0.36450110132978725,0.365357866574817,0.36469164219850525,0.365318165243023,0.3642017663467079,0.36588244507466355,0.36736904961409383,0.37143248837184406,0.3667244304766907,0.35138526061549197,0.29715869161882486,0.11781773300445986,0.3487161818377544,0.5977230385681273,0.5971217689819825,0.5967815936763555,0.5967812619515065,0.5937778373054304,0.5931334468756276,0.5938580816683448,0.5949355062931109,0.5932116567416891,0.5909580685433283,0.5821226478282334,0.5713112256980838,0.5662873952424803,0.55985847806923,0.5493182664767658,0.5200773468449943,0.43920215712624155,0.33435592526970725,0.1302800856873664,0.5368997783604528,0.7852334524211052,0.7880830361326584,0.7896006734362776,0.7906445052034111,0.7931572750493564,0.7956567365809004,0.7988662480042571,0.8037378702535649,0.8086499322644998,0.8142469414814618,0.8240926510474771,0.8360023379536112,0.8464312426714163,0.857645510357262,0.8720164355876932,0.8890521157648146,0.9109286087736845,0.9354406272123111,0.9640974730377916,0.8370307196438711,0.3219205785372903,0.3211396972119143,0.3205900825647512,0.3199904815962941,0.3183802424295943,0.3172187875075289,0.31606240049026796,0.3145380573274021,0.3126447076974037,0.3097393022973147,0.30422676716624897,0.29657076451991177,0.2893753983733623,0.2796616700088081,0.26562695964841193,0.2395061749410631,0.19473103216489518,0.13033850027986518,0.04001157532757916,0.274330167373153,6562.0,6536.0,6521.0,6510.0,6481.0,6450.0,6406.0,6333.0,6251.0,6148.0,5942.0,5670.0,5401.0,5069.0,4570.0,3880.0,2869.0,1699.0,478.0,5251.368421052632,12019.0,12045.0,12060.0,12071.0,12100.0,12131.0,12175.0,12248.0,12330.0,12433.0,12639.0,12911.0,13180.0,13512.0,14011.0,14701.0,15712.0,16882.0,18103.0,13329.631578947368,350.0,376.0,391.0,402.0,431.0,462.0,506.0,579.0,661.0,764.0,970.0,1242.0,1511.0,1843.0,2342.0,3032.0,4043.0,5213.0,6434.0,1660.6315789473683,0.28486087939292826,0.812578128147156,0.2960012916419999,0.33399709380550024,0.8978587962962963,0.11290322580645161,0.3548387096774194,0.532258064516129,0.22226251887849147,0.4868787510296944,1.1766666666666667,0.29587664978497086,5042.86,6206,12375,706,207,7,22,33,331.0,600,0.29827795865531714,0.2046176201496152,0.5500578703703703,3802,14779,3110,6912,18581,107,62
MOT17-04-FRCNN,0.37671750573408763,0.7823911001482359,0.2947404237563922,0.37671750573408763,0.37489689023488176,0.3729859196542592,0.37192638410531065,0.36988762967476013,0.3674743572344473,0.36397985825733464,0.36048897713438244,0.3539914961862087,0.33954202256797783,0.3271379150520663,0.31754081796259787,0.30751401823901636,0.2947354486136111,0.27684158690429994,0.24689820280111954,0.20157633602379374,0.13079378085345805,0.03738760537619415,0.3048587764531478,0.5512427220935329,0.5461447261684381,0.5423591658885777,0.5391974158280531,0.5350335570469799,0.5298209508129245,0.5204647262165313,0.5110686479783709,0.49758239987106134,0.47444213031835764,0.44846937781328555,0.4259078091730448,0.4029253562328961,0.37632616786091205,0.33855545351412675,0.28314719234951924,0.20903679125597735,0.11730046595520818,0.02420877137385122,0.4143807277764025,0.2574475334341603,0.25734511673090527,0.25650621398166623,0.25654654702158936,0.25571640654008354,0.2548736568791347,0.25454431500111424,0.2542756303863371,0.2518376441864146,0.24299862453655346,0.23863215808944044,0.23674647165576618,0.2346957567963193,0.23083429239917447,0.22637728456054265,0.215289871111188,0.19438214201738288,0.14583925963665662,0.05774076735161669,0.22750682591137086,0.5554387366738861,0.552116407679206,0.5496351746325462,0.547553462161196,0.5447988729314297,0.541329352145846,0.5350421599343945,0.5286498307294405,0.5193346931051159,0.5029543495174212,0.48394558109216307,0.4668713333473516,0.44891393485711883,0.4273818785877999,0.3953361229682276,0.3449124208844124,0.2702441280989129,0.16409781945875476,0.036945139516790376,0.4429211262274744,0.986480935130896,0.9805803488068118,0.9761735818052807,0.9724763789819622,0.9675841207006013,0.9614221159950704,0.9502558165589872,0.9389027897075849,0.9223587407103111,0.8932666094035926,0.8595062927138962,0.8291817604660716,0.7972887179295665,0.7590469432722112,0.7021324270829443,0.6125779586958957,0.4799641483362587,0.29144414983007805,0.06561601374313777,0.7866452552563769,0.28227460216802447,0.281999030784078,0.28145538395616526,0.2815480562453459,0.28100107264610585,0.28055732232373487,0.2806840629243962,0.28090107543081044,0.27928966494176455,0.272142180547622,0.26823155585663705,0.266961481883836,0.2659385796401104,0.26312605942031303,0.26041788637223606,0.2508338003469611,0.23092813691649677,0.18383463379538648,0.08063544270503986,0.25646105415289816,0.6832093710758238,0.684439724618351,0.6815472639859637,0.6812327022971322,0.6792172359083563,0.6775448813613945,0.6749283305291462,0.6727266391672789,0.6664147804501929,0.6519673970378218,0.6452896126168312,0.6383207859863783,0.6287567679856106,0.6200881881912338,0.6048542519080597,0.577462065992621,0.5363298667890207,0.42126321023880003,0.17254292271869698,0.6104282104662482,0.7823911001482359,0.7866767418104428,0.7896740935756252,0.7920166335713845,0.7948730347576051,0.7982122220557398,0.8037725849267798,0.8089496986871971,0.8157899724934224,0.8267958900333323,0.8386732779765372,0.8483420804412076,0.857231813815222,0.8663682109931299,0.8777091982744962,0.8924631584724813,0.9107702719786811,0.9326581894007174,0.9621776182948695,0.8413445153530057,0.37814855907497263,0.3769409255881528,0.37547947709048807,0.3747972118721954,0.373247920386856,0.3714439278779835,0.3690419218696123,0.3666371079996662,0.36164627145301387,0.3495957882146327,0.33983080851192876,0.3324607358579484,0.3245892722776048,0.31409296956163263,0.2991573465690591,0.272499817682238,0.22919562056786055,0.1546994004443926,0.04618701879978847,0.3162995843000014,26415.0,26257.0,26139.0,26040.0,25909.0,25744.0,25445.0,25141.0,24698.0,23919.0,23015.0,22203.0,21349.0,20325.0,18801.0,16403.0,12852.0,7804.0,1757.0,21064.0,21142.0,21300.0,21418.0,21517.0,21648.0,21813.0,22112.0,22416.0,22859.0,23638.0,24542.0,25354.0,26208.0,27232.0,28756.0,31154.0,34705.0,39753.0,45800.0,26493.0,362.0,520.0,638.0,737.0,868.0,1033.0,1332.0,1636.0,2079.0,2858.0,3762.0,4574.0,5428.0,6452.0,7976.0,10374.0,13925.0,18973.0,25020.0,5713.0,0.4403557835860126,0.8254609646469347,0.45358201736863135,0.5083163361860504,0.9027897075848677,0.1686746987951807,0.5180722891566265,0.3132530120481928,0.3516347406138949,0.6504156913390912,2.479047619047619,0.4535231690256862,19954.693,24174,23383,2603,629,14,43,26,945.0,1050,0.3347593295127398,0.2616228946317051,0.46465250028009114,12442,35115,14335,26777,47557,250,83
MOT17-05-FRCNN,0.43231885712766666,0.6451367601693652,0.2789047868474655,0.43231885712766666,0.42751882692726095,0.42490598613444613,0.4210257252914958,0.41629175417753,0.4071517346810563,0.3933733397478223,0.3674827612732231,0.34308186331065754,0.31647496187141017,0.30185194312146774,0.2809079920995456,0.25677781319589793,0.22755734484635143,0.18861298511790836,0.14447523591208114,0.08717842127692524,0.037252394689083174,0.006477300881108059,0.28845880219383874,0.6546021417920564,0.6386092092898376,0.628552368245497,0.6156187954996691,0.602468163318892,0.5843717549325026,0.5586770527391138,0.5143920595533499,0.46179640718562875,0.40751845018450183,0.373466861708113,0.3306442821323449,0.2859249894648125,0.2355501568984715,0.18401396837714618,0.13175707000463607,0.07466103187180842,0.0289134283064992,0.003040512778371271,0.38497782654122376,0.28551631944941475,0.28620374513626645,0.28723954625586534,0.2879422503878463,0.28764810349734016,0.28367650156695323,0.27698038368620087,0.2625304518702173,0.2548854064284624,0.24577145266960365,0.2439696929186113,0.23865315170886223,0.23060189832683983,0.21983574910476877,0.19332694397512148,0.15842105316334862,0.10179442938032575,0.04799641520750737,0.013798799663942785,0.22141012075776303,0.6981350296371259,0.6877258927280613,0.6810756108139366,0.6724013300563828,0.6634379066069105,0.6508601995084574,0.632499638571635,0.5993928003469712,0.5574671100187942,0.5109151366199219,0.4798322972386873,0.4384848922943473,0.3923666329333526,0.33641752204713027,0.27425184328466096,0.20543588260806708,0.12259650137342779,0.04958797166401619,0.005349139800491543,0.4556964914817041,0.9130270372471166,0.8994138778597088,0.8907165815844205,0.879372282094914,0.8676498392890906,0.8512006050293061,0.8271885044431839,0.7838910947249007,0.7290603138589525,0.6681792399319342,0.6275288334278691,0.5734543391945547,0.5131404802420118,0.43996974853469467,0.3586689355265646,0.26867082624314614,0.16033276611835887,0.06485157874834563,0.0069956513518623555,0.5959638176553125,0.44481233795950226,0.4465559494078468,0.4484448716130574,0.45003426066712826,0.4508067993130652,0.44722415242668284,0.4421246884826287,0.43192319763665993,0.4252342581529299,0.41815694329467823,0.41519677127680366,0.40853130838730284,0.4022458656331753,0.3906519453972091,0.35785583287536665,0.3103840230166501,0.22415246240118172,0.127194530844109,0.03110910431237169,0.37224417384728153,0.4854315082130311,0.48680895443055866,0.48661144516860794,0.4868639285910869,0.4855443041203241,0.4815343077630711,0.47393197905561796,0.45411807788119246,0.4413994035249353,0.42628166520626437,0.42296070224626353,0.41402557001096874,0.39464644350563477,0.3741326001654527,0.33766580720182354,0.28525437686653277,0.19284931957327447,0.09250367581361912,0.027238674244377068,0.3815685654517177,0.6451367601693652,0.653740244476089,0.6589283512367916,0.6651555986282416,0.6710779008768721,0.6787171950476903,0.6889072385787964,0.7060976555410123,0.7272024464356825,0.7503062096199344,0.7648552082755113,0.7826415708935225,0.801098140597607,0.822092857184613,0.8438447793345736,0.8668213081477311,0.894623643455078,0.9254201270053407,0.9595239130226342,0.7634837446593205,0.4464627018471983,0.44365496292271245,0.44230289329387334,0.44001449082980876,0.4368485499846867,0.42969028893579664,0.4185570362244014,0.3966848405508399,0.37694857859878017,0.35435625480294153,0.3421469541143898,0.3234900331119445,0.3007997513206111,0.2719496239585577,0.23026130969350334,0.18040335052407436,0.11171231311423285,0.04878570361575439,0.008591374074116764,0.3159821585009592,4829.0,4757.0,4711.0,4651.0,4589.0,4502.0,4375.0,4146.0,3856.0,3534.0,3319.0,3033.0,2714.0,2327.0,1897.0,1421.0,848.0,343.0,37.0,3152.0526315789475,2088.0,2160.0,2206.0,2266.0,2328.0,2415.0,2542.0,2771.0,3061.0,3383.0,3598.0,3884.0,4203.0,4590.0,5020.0,5496.0,6069.0,6574.0,6880.0,3764.9473684210525,460.0,532.0,578.0,638.0,700.0,787.0,914.0,1143.0,1433.0,1755.0,1970.0,2256.0,2575.0,2962.0,3392.0,3868.0,4441.0,4946.0,5252.0,2136.9473684210525,0.2499638571635102,0.7469992848624171,0.2809021251987856,0.5227699869885789,0.6836831159009265,0.20300751879699247,0.6240601503759399,0.17293233082706766,0.11770267660293479,0.5924954940193348,1.998805256869773,0.28056521414293056,2701.1494,3616,3301,1673,214,27,83,23,304.0,837,0.3432737997706046,0.30287696978458867,0.3961051238419361,2095,4822,3194,5289,6917,140,133
MOT17-09-FRCNN,0.5788961794954509,0.760041218916382,0.43998495788975917,0.5788961794954509,0.5772831163141007,0.570866331655132,0.5624640665886039,0.5494683690645975,0.5390354114186935,0.532261547052594,0.5217639877242561,0.5123871623181209,0.49650033194376536,0.4815571806756112,0.4633084627275209,0.44231914775225917,0.4163753416027258,0.3738218447767545,0.3113379072572358,0.230217181540078,0.12306432432803832,0.02115901631901368,0.43705720581866064,0.7597858197932054,0.7571902654867256,0.7488073394495413,0.7363818546183276,0.7182260681449432,0.7043991416309013,0.6922940340909091,0.6706397896581946,0.6455455801104972,0.6165196743554953,0.5892946473236619,0.5565899069083783,0.5167091024824952,0.47128743439333126,0.40949423247559896,0.3255910987482615,0.22223647088997178,0.10440324449594438,0.015340364333652923,0.5400387404942124,0.44107270483889893,0.4401216069082729,0.43520990173113455,0.42962197427768545,0.4203627548388846,0.4124922328703951,0.40922258537565076,0.4059372305133717,0.40669568841827963,0.3998454386357929,0.3935167565383924,0.3856604817490402,0.37863902054040716,0.3678613356580504,0.34125699594712355,0.29770866853537636,0.2384844866551956,0.1450608934179715,0.02918470264791147,0.35673449789988604,0.7727699530516432,0.7712676056338028,0.7663849765258216,0.7590610328638497,0.7481690140845071,0.7397183098591549,0.732206572769953,0.7184976525821596,0.7021596244131455,0.6826291079812207,0.663661971830986,0.64,0.6097652582159624,0.5733333333333334,0.52,0.4396244131455399,0.3254460093896714,0.1692018779342723,0.027042253521126762,0.5979441561650605,0.9783642415596766,0.9764621968616263,0.9702805515929624,0.9610080836899667,0.9472182596291013,0.9365192582025678,0.9270090347123158,0.9096528768426058,0.8889681407513077,0.8642415596766524,0.8402282453637661,0.8102710413694721,0.7719923918212078,0.7258678078934855,0.6583452211126961,0.5565858297669996,0.4120304327151688,0.21421778411792677,0.034236804564907276,0.7570263032760218,0.5141686374291508,0.513452588529889,0.5099795175009205,0.5057120340271899,0.49671379850019776,0.48961942143546366,0.48629971315001586,0.48421151678325625,0.48536383206293426,0.48142581550275065,0.4772485481034224,0.4726462052351897,0.468546040785782,0.4593228851776998,0.43666972128643533,0.3938172539223574,0.3349785056670315,0.23134618937758664,0.0539884643087064,0.43660582572557777,0.7256304656588043,0.7250544963372763,0.7213947330443307,0.7172109120069831,0.708908422373486,0.7033656746245615,0.6997480299237815,0.692296024291186,0.6906597019612531,0.6803508802296381,0.666011863702595,0.6512274609324956,0.6362929662512926,0.6170877734111816,0.5776032944686028,0.5085900590910342,0.40876564905767315,0.26646649026720703,0.060384373122749885,0.6030025931976911,0.760041218916382,0.761359138502702,0.7653948993140709,0.7710726815600728,0.7790149234863649,0.7848265170445748,0.789579409946384,0.7974368199215344,0.8060125480778366,0.8155200731967469,0.8237637821131665,0.8329018986141178,0.8431513667069914,0.8536735327564768,0.8665915999054349,0.8831755257681464,0.903091497560216,0.9288591212622995,0.9604756087064743,0.8276811664926311,0.5838216623342416,0.5826246973376991,0.577527774502682,0.5710598038176267,0.5608051246606576,0.5523839763506158,0.5473896845374095,0.5400601329662842,0.5343830946336391,0.522442470618834,0.5110402201322353,0.4968125484721433,0.4805006973256756,0.4592463018656571,0.4212524633666897,0.3617734079409443,0.2785925779400409,0.1566670851874895,0.028093061918265896,0.46139351504783316,4115.0,4107.0,4081.0,4042.0,3984.0,3939.0,3899.0,3826.0,3739.0,3635.0,3534.0,3408.0,3247.0,3053.0,2769.0,2341.0,1733.0,901.0,144.0,3184.0526315789475,1210.0,1218.0,1244.0,1283.0,1341.0,1386.0,1426.0,1499.0,1586.0,1690.0,1791.0,1917.0,2078.0,2272.0,2556.0,2984.0,3592.0,4424.0,5181.0,2140.9473684210525,91.0,99.0,125.0,164.0,222.0,267.0,307.0,380.0,467.0,571.0,672.0,798.0,959.0,1153.0,1437.0,1865.0,2473.0,3305.0,4062.0,1021.9473684210526,0.6214084507042253,0.8150461666447022,0.6351173708920188,0.7124882629107981,0.9020446980504042,0.46153846153846156,0.5,0.038461538461538464,0.48963101525821595,0.7961389151190851,0.7847619047619048,0.6347674511060807,3092.2852,3794,1531,412,73,12,13,1,109.0,525,0.5050886580631623,0.452018779342723,0.5722776985259154,2407,2918,1799,4206,5325,64,26
MOT17-10-FRCNN,0.5107915883716851,0.7145818242436497,0.36500238502695015,0.5107915883716851,0.5097140389155749,0.5073627618206437,0.5048928410294242,0.5003719369678536,0.4939608531715556,0.48445387863996897,0.47355550392937507,0.4603957560692333,0.44499581613274297,0.4264179556532806,0.3979624888742088,0.3592901578341755,0.3110778830443158,0.24784544109019904,0.1794529778755005,0.10307967480696523,0.043280420704579,0.008476770956478872,0.3667041445204085,0.6254190795489181,0.6228223659186002,0.6192500379535448,0.615571039079067,0.6105700264250661,0.6018622812945859,0.5899232317209511,0.5724605631726375,0.5457971014492754,0.5154873543620346,0.48097750624826435,0.43475921442023135,0.37972964232585216,0.314113226144274,0.2410262377101635,0.16206351800403115,0.08626133007434565,0.03147816836710024,0.005325415900843584,0.4239419652694625,0.41717314882598133,0.41714687153926616,0.41569149181317006,0.41411431782777663,0.4100628338585654,0.40540391390060354,0.3978408509945356,0.3917384527922068,0.38835723319842547,0.38414381012453047,0.37804735261292555,0.3642801286274127,0.33995085747278325,0.30807187111212647,0.25485757589205854,0.1987083315541987,0.12317708698848048,0.059507745003459005,0.013492964152756835,0.3200929914890138,0.6393021263338267,0.6376664849287328,0.6354077420359842,0.6330711114572786,0.6298777163330478,0.6242698029441546,0.6164810343484695,0.6048757691408988,0.5866500506269958,0.5651530493029052,0.5396058883090583,0.5034660020250799,0.45727860425266764,0.3971493106939793,0.3226886829192305,0.23171586572162942,0.13194174001090428,0.050704883557909496,0.008801308513124075,0.464005640708204,0.9664429530201343,0.9639703285058283,0.9605557517955964,0.9570234310608736,0.9521959260567526,0.9437183562934182,0.9319439538443424,0.9144000941952196,0.8868479924643824,0.8543506417049335,0.8157306016719651,0.7610973743082539,0.6912751677852349,0.6003767808783704,0.48781349346520664,0.35028847286000236,0.19945837748734252,0.07665135994348286,0.013305074767455552,0.701444533268884,0.4711949930164262,0.4714175431286102,0.47047638126426533,0.4696351300958817,0.4670138810276696,0.4639160414302101,0.45865815598199516,0.4547069349981516,0.4538011582742254,0.4524861250808991,0.45019900386829836,0.4418394016796415,0.42418873642055677,0.3982027180564027,0.3494968120034001,0.2901155074869083,0.20106676272947277,0.10810683636581138,0.025665214501719612,0.3853782809163445,0.7461857785411558,0.7458188616477617,0.7442772811047867,0.7437525048607275,0.741259970463512,0.737138385658676,0.7298889220738909,0.7219303869719993,0.7134670444990298,0.7060855649682493,0.6938403718382913,0.674973308703265,0.6428015638221193,0.593576246919034,0.5139033894985494,0.409514811574084,0.2668750266486694,0.1332684733990685,0.03659789087053411,0.5944818833717581,0.7145818242436497,0.7162273719631972,0.7183310697989944,0.7203224591148181,0.7228285109169834,0.7268418547665411,0.7319155628893546,0.7387237740091034,0.7484310043345597,0.7587669410279725,0.7698038145727704,0.7837265844613609,0.7997251235125032,0.8183399444118297,0.839485528041509,0.8646426384188548,0.8942207737683968,0.9285619373328858,0.9623159133227526,0.7872522437320019,0.5164297445866454,0.5157524399103328,0.5139392884345155,0.5120193467610411,0.508221842647373,0.5030719843556375,0.49523866905481706,0.4867782841651338,0.4773151899083208,0.4659399592895147,0.4516598028711272,0.4282553677156018,0.39427433801815187,0.3497864080498061,0.2867745726116529,0.21457836114618298,0.12748411346804994,0.05493025833904443,0.01089751073708747,0.38491302537210714,8208.0,8187.0,8158.0,8128.0,8087.0,8015.0,7915.0,7766.0,7532.0,7256.0,6928.0,6464.0,5871.0,5099.0,4143.0,2975.0,1694.0,651.0,113.0,5957.368421052632,4631.0,4652.0,4681.0,4711.0,4752.0,4824.0,4924.0,5073.0,5307.0,5583.0,5911.0,6375.0,6968.0,7740.0,8696.0,9864.0,11145.0,12188.0,12726.0,6881.631578947368,285.0,306.0,335.0,365.0,406.0,478.0,578.0,727.0,961.0,1237.0,1565.0,2029.0,2622.0,3394.0,4350.0,5518.0,6799.0,7842.0,8380.0,2535.6315789473683,0.46826076797258354,0.7583166259633586,0.49061453384219955,0.5760573253368643,0.8708348051336394,0.22807017543859648,0.5614035087719298,0.21052631578947367,0.32903728994664694,0.6934183386461654,1.6773700305810397,0.4904230951089077,5608.51,7396,5443,1097,287,13,32,12,618.0,654,0.4609038064879055,0.38289586416387567,0.5788296243965618,4916,7923,3577,8493,12839,223,57
